shank,sua,cell,odor_count,spike_snr,isolation_distance,l_ratio,good
6,2,4,10,"[0.66452528 1.0809798  2.08065094 8.46137561 8.53129896 1.93499052
 1.13980377 0.30262297]",57.841033935546875,0.003818213939666748,1
6,2,5,10,"[0.3242474  0.62978199 1.32681914 5.76054785 4.66687496 1.73883971
 0.95864935 0.63910875]",73.7151107788086,0.17894628643989563,1
6,2,6,10,"[0.2063273  0.35847464 0.58991969 2.22484955 3.39634437 1.24497663
 0.71143875 0.31323159]",53.05229187011719,0.03122827410697937,1
6,3,0,10,"[0.2049426  0.33312752 0.67685803 4.08595757 2.96520248 0.75706287
 0.67623258 0.32431284]",15.195028305053711,12.479060173034668,1
6,3,1,10,"[0.19985676 0.31269201 0.68011762 2.78852078 3.05883936 0.82762767
 0.58310728 0.40294299]",33.02914047241211,0.4186197817325592,1
6,3,2,10,"[0.25641743 0.63660047 1.55262267 7.02840111 2.27868229 1.99071432
 1.12772833 0.69100383]",33.56830978393555,0.41102534532546997,1
6,3,3,10,"[0.38472628 0.51107341 1.27472862 2.7632856  4.68631147 1.35436171
 0.78661074 0.39393298]",50.81999969482422,0.08118438720703125,1
6,3,4,10,"[0.34145612 0.58712037 1.34704886 5.97719079 3.82846398 1.09895319
 0.85562942 0.67891374]",42.900596618652344,0.07049489766359329,1
6,3,5,10,"[0.2756558  0.2737396  0.56750321 4.65406434 2.87111626 0.64706298
 0.6085507  0.40675963]",35.804744720458984,0.24464286863803864,1
6,3,6,10,"[0.29924985 0.77040554 1.0290421  4.14529183 4.21124222 1.50056331
 0.9157052  0.61817081]",29.090065002441406,0.88257896900177,1
6,3,7,10,"[0.33764003 0.40418247 0.87413973 2.71373653 4.18387211 0.95780285
 0.85260374 0.59026017]",24.63986587524414,1.2262316942214966,1
6,3,8,10,"[0.31479663 0.55442159 0.87216965 5.94344575 6.05699818 1.31548215
 0.9818692  0.57253223]",34.07345962524414,0.34006986021995544,1
6,3,9,10,"[0.37257856 0.80043832 1.3057245  5.48049966 3.23047562 1.10638208
 0.99384818 0.64512618]",26.8360652923584,1.335790753364563,1
6,3,10,10,"[0.40026232 0.44881878 1.19201262 4.34062077 5.17223025 1.31700128
 0.9011956  0.41788982]",13.338452339172363,52.82944107055664,1
7,0,0,10,"[0.2910208  0.4315007  0.9871961  4.08088097 3.36353139 1.1911235
 0.83849179 0.56563025]",28.867128372192383,0.6566926836967468,1
7,0,1,10,"[0.29493894 0.47293968 0.86799163 2.12476528 4.51582166 1.15482422
 0.73146633 0.57465096]",39.29582595825195,0.15160560607910156,1
7,0,2,10,"[0.25872721 0.47216674 0.87688554 2.80556219 3.87910511 0.999494
 0.72382164 0.58543189]",31.069679260253906,0.6012271046638489,1
7,0,3,10,"[0.34026989 0.44936163 1.11132904 2.33817471 2.95430125 1.51142617
 1.14031944 0.95563908]",25.67341423034668,1.338285207748413,1
7,0,4,10,"[0.20745729 0.35016066 0.6207862  2.95394171 4.49321045 1.41277739
 0.63527557 0.37128402]",108.58039093017578,0.0027954161632806063,1
7,1,0,10,"[0.25491654 0.4143123  0.91970832 3.67667723 3.16156052 0.98072321
 0.79042459 0.36233809]",28.318479537963867,0.7992218732833862,1
7,1,1,10,"[0.28319979 0.57715201 1.06904325 3.72497846 5.05124583 1.58875267
 1.01394354 0.4188577 ]",87.7794189453125,0.039904892444610596,1
7,1,2,10,"[0.45271965 0.6505623  1.72287137 5.97589524 3.63597299 1.24752401
 0.86300303 0.77295931]",24.31350326538086,1.7289323806762695,1
7,1,3,10,"[0.30995098 0.45561133 1.19447494 4.67324355 5.26383157 1.77130921
 0.82510469 0.37347405]",111.28234100341797,0.002283116104081273,1
7,1,4,10,"[0.31952627 0.46020094 1.23787816 4.09198829 3.63184238 1.16421866
 0.95438448 0.29231186]",23.274587631225586,1.4153534173965454,1
